m/z,Intensity
200.00932,217.1
200.01318,116871.6
200.02289,442.2
200.13553,291.9
200.16428,425
200.18399,347
200.20052,425180.3
200.20426,759.7
200.21411,286.2
200.23297,2785.9
200.23693,641233.2
200.2411,346.9
200.24231,444.2
200.2457,483.4
200.30183,344.4
200.41238,880.3
200.51671,799.6
200.70486,629.3
200.81145,525.3
200.83276,535.2
200.84775,332
200.88478,636.1
200.95695,955.8
201.00868,1182.3
201.01339,5201.2
201.05717,756.5
201.06,343.6
201.08823,689.3
201.14745,767.5
201.18425,369.4
201.20387,53845.9
201.22269,783
201.23285,779.3
201.24028,113574.3
201.25818,471.5
201.37401,875.4
201.46547,741.1
201.53789,1134.6
201.60657,368.5
201.61917,866.7
201.84103,726.6
201.98817,720
201.99241,672214.4
201.99596,371.1
202.01093,279
202.05606,953.6
202.08363,257.1
202.10657,309
202.14305,767
202.15053,891.1
202.17642,1084.4
202.17976,341380.1
202.20148,1098
202.21141,6792.3
202.21618,2578364.5
202.22073,4630.4
202.2878,891.1
202.29918,949.6
202.53404,1095.6
202.53896,218.6
202.54997,392
202.68849,387
202.72008,402.4
202.81322,1278.4
202.87349,426.2
202.93736,594.7
202.96675,263.7
202.99238,36142.4
202.99592,2110.1
203.00768,392.1
203.02579,842.2
203.05215,12402.8
203.05449,297.7
203.05873,63073.6
203.06774,1429.8
203.08068,8569.8
203.1063,36931
203.18326,17404
203.2028,702.7
203.21556,1995.5
203.21953,368941.1
203.22339,367.2
203.33119,296.1
203.57506,868.9
203.63986,613.3
203.64192,754.3
203.67551,831.3
203.74051,293
203.8051,303.4
203.8349,387.3
203.85252,1186.7
203.87993,659.7
203.8875,486.9
203.95514,305
203.98691,25745.5
203.99107,4730.5
203.99316,392.2
203.99594,429.4
203.99713,369.6
204.03116,784.5
204.06274,331.5
204.10971,897.4
204.11331,385
204.11771,732
204.12247,332.1
204.15914,2833
204.16776,584.3
204.18478,347.9
204.22296,2681.8
204.23013,767.4
204.38403,340.7
204.45325,401.4
204.55026,681.3
204.56134,419.3
204.56705,372.4
204.58324,343.4
204.66331,825.2
204.85927,274.5
204.98709,704.5
205.01447,288.3
205.01573,346.5
205.0378,1906.1
205.05739,4039.2
205.06206,1228718.3
205.06667,9067.8
205.07739,1205.7
205.10735,557
205.11969,404.7
205.12215,5312.3
205.12935,281
205.16163,2070.1
205.30086,379.5
205.45531,337.5
205.56648,416
205.61116,249
205.62595,246.6
205.65364,241.8
205.66426,742.9
205.69276,301
205.75931,538
205.85396,256.2
205.883,788.5
205.90533,561.7
205.936,540.3
205.98734,85739.7
206.02371,99725
206.02823,472
206.06541,156697.1
206.06972,360.7
206.11655,838.1
206.12714,738.8
206.13519,685.2
206.13839,1281.4
206.15411,390.6
206.16626,959.8
206.1743,276.1
206.19044,776.8
206.30855,701.1
206.37013,1017.3
206.54343,694.9
206.60299,1488
206.65834,346.9
206.69852,1332.6
206.70943,785.3
206.96831,641.9
206.98766,959.2
206.9947,28761
207.0235,2198.3
207.02498,357.9
207.03226,371.7
207.04753,321.4
207.06886,1380.4
207.1013,17715.2
207.13513,288.9
207.17387,325.2
207.38263,406
207.48981,321.6
207.53221,364.4
207.57861,562.1
207.61154,843
207.65408,769.7
207.96588,747.1
207.98581,296.4
208.07982,464.9
208.16933,776.3
208.20319,53663.8
208.23186,552.8
208.33759,826.7
208.36737,806.1
208.4539,659
208.58084,389.3
208.58728,708
208.69815,438
208.89928,430.8
208.93997,712
208.9749,307.5
208.99467,917.2
209.03259,1882.1
209.06554,350
209.07802,1645.3
209.11468,965.9
209.11684,798.1
209.12274,828.1
209.15326,28914.2
209.16393,375.4
209.20088,5538.6
209.20657,1023.8
209.27231,372
209.40581,283
209.46242,412.3
209.47691,1181.6
209.65742,341.3
209.78986,361.1
209.86113,901.2
209.87933,453.5
209.91013,622.8
209.95976,257.2
209.96421,76122.5
209.97445,2768
210.03313,940.4
210.06679,746.4
210.07719,490.6
210.08139,577.2
210.15668,275.5
210.18465,854.9
210.19177,768.9
210.22153,507.4
210.54704,724.8
210.56653,523.9
210.61302,745.1
210.80296,468.8
210.85684,426.9
210.93546,431.8
210.95538,501.4
210.96467,753
210.99274,3855.4
211.02353,807.8
211.02732,14844.2
211.03908,394.3
211.07265,638.8
211.07555,410.5
211.09367,11691.3
211.12939,305.3
211.13252,3114.7
211.16639,1396.1
211.16887,3949.7
211.1803,2526.8
211.21625,5312
211.28499,706.9
211.29708,1196.7
211.29961,642.1
211.31932,586.4
211.34566,291.4
211.38277,444.8
211.4138,1100.9
211.64105,461.1
211.69772,391.7
211.79723,651.1
211.8134,977.2
211.94144,417.8
211.97147,396.1
211.97716,364.5
211.98334,1002.1
212.01306,1657.9
212.03107,207.3
212.04939,794.8
212.062,570.5
212.06978,582
212.16417,112165.6
212.16878,452.6
212.18143,369.5
212.20046,117830.3
212.20572,286.8
