m/z,Intensity
67.0938,1880.4
67.13593,2660.5
67.14401,2061
67.19678,1624.9
67.29406,2007.6
67.37501,3853.4
67.40058,2231.4
67.40147,2012.9
67.42741,2170
67.44645,2188.6
67.45506,2213.5
67.45663,2303.8
67.46361,1797.3
67.52514,1676.9
67.61942,1946.2
67.8092,2325.4
67.91754,1805.2
67.94727,1956.1
67.98348,4256.7
68.00198,2041.2
68.01986,2102.3
68.04074,2066.4
68.05115,2509
68.06534,2884.7
68.1757,3068.1
68.24356,3135.8
68.34955,2523.4
68.39864,4124.7
68.55154,1848.3
68.63641,1699.3
68.64316,2883.2
68.73359,2167.4
68.74763,2506.5
68.76464,1727.2
68.77885,2335.1
68.96501,2254.6
68.96645,2203.3
68.97068,1879.1
69.04624,2177.2
69.07781,2809.7
69.11961,1736.1
69.14007,1920.8
69.19299,1651.7
69.33353,2541.3
69.38696,2011
69.41105,1958.4
69.47146,2606
69.52406,2555.4
69.52917,3912.8
69.6693,3409.8
69.70161,2466.7
69.81908,2492
69.84241,2385.1
69.85474,2806.9
69.9631,2260.4
70.07187,1967.9
70.12116,3712.9
70.3282,1685.7
70.35155,2349.4
70.38838,2738.9
70.41264,2062.1
70.43336,2796.5
70.48804,2234.4
70.49624,3156.7
70.64362,2888.2
70.70129,2082.6
70.84192,3503
70.87285,2838.8
70.96862,1995.2
71.05421,4838.3
71.1302,1592.3
71.18044,2282.5
71.19498,2121.1
71.1993,2352.3
71.23406,2178.1
71.25628,2507.6
71.34253,1897.3
71.40545,1812.2
71.41502,1943.4
71.47618,2000.7
71.5753,2413.3
71.68561,2661.5
72.08136,2194.6
72.12694,2133.8
72.17358,2192.8
72.18159,2494.1
72.18261,2914.9
72.22859,2572.4
72.23902,2074.9
72.243,3298.5
72.24386,2828.2
72.26375,1974.3
72.38753,2064.8
72.68277,1845
72.7522,1722.4
72.81618,2354.9
72.83053,1804.1
72.851,1860.2
72.97538,2033.1
72.97932,1744.8
72.98868,2054.4
73.01023,3227.1
73.02831,2194.9
