m/z,Intensity
690.09662,10.4
690.26135,9.5
690.37244,10
690.38971,9.4
690.50983,11.7
690.52332,11.6
690.91443,9.7
690.96117,306.5
690.97534,9.8
691.04449,7.7
691.07672,12
691.29385,406.3
691.38055,12.2
691.46167,8.8
691.49945,10.6
691.53113,10.1
691.83716,10.4
691.88066,124.8
691.90805,62469.4
691.93898,22.5
691.95636,451.1
692.30048,11.8
692.42871,12
692.54376,10.1
692.91097,24759
692.93839,339.8
692.95853,25.3
693.03668,9.9
693.15771,9.8
693.20624,3.6
693.2373,8
693.27197,9.5
693.90227,408757.9
693.93286,12.2
694.90368,218821.3
694.93501,43.3
694.95357,1369.1
694.96411,11.5
695.02231,633.7
695.27924,10
695.31167,11835.2
695.401,9.3
695.50281,11.1
695.73199,8
695.90388,93693.2
695.93725,387.4
695.95004,21.1
696.0224,82.2
696.25873,9.3
696.31552,2802.8
696.4361,13.6
696.87691,2679.5
696.90615,26079.3
696.93734,475
697.02931,48.8
697.39954,10.4
697.41455,9.2
697.56238,9.3
697.85144,8.9
697.87268,11.5
697.89951,15283.7
697.93446,397.8
697.95477,11.6
698.02039,13.6
698.03265,11.7
698.06738,20.7
698.32861,10.8
698.48132,9.9
698.86975,9.6
698.90026,6595.8
698.93327,145.8
698.96167,10.8
699.02612,13.1
699.04449,180.4
699.28688,140.6
699.3229,20.9
699.58148,9.6
699.77887,12.6
699.84363,11.2
699.87646,10.6
699.90484,876.1
700.02783,10.1
700.36029,10.5
700.91057,86.5
700.97644,12
701.02895,29.9
701.06065,237702.6
701.09138,31.4
701.11561,17.2
701.40967,7.8
701.48358,11.4
701.51929,9.2
701.55499,12
701.87243,46.6
701.92044,18.8
701.94513,10.6
701.9646,23
702.0343,20.2
702.06415,74363.3
702.09506,36.4
702.12238,10.5
702.20807,12.3
702.28253,8.7
702.32263,8.3
702.34845,9.5
702.40967,9.9
702.44196,12.3
702.49817,6.8
702.52386,10.4
702.59863,19.2
702.87421,3.8
702.90234,10.2
703.04025,1428.3
703.06717,19142.6
703.39111,8.3
703.46494,20.4
703.53654,42
704.04532,34.7
704.06918,1062.7
704.42163,10.3
704.72534,8.6
704.95319,11.6
705.05707,5.7
705.17236,9.5
705.27252,78.1
705.3844,10.9
705.89825,11.4
705.94064,22.6
705.9942,10
706.0112,38.5
706.27991,9.5
706.91968,13.8
706.95665,140.7
707.28924,47.1
707.46527,10.7
707.53387,12.8
707.90297,552.8
707.92418,199.8
707.95627,30.7
707.97348,25
708.2132,8.6
708.22864,10.8
708.35944,8.7
708.43292,240.5
708.91209,8926.5
708.97026,281.5
709.43577,20.1
709.51709,8
709.53607,8.7
709.89509,12912.3
709.92202,31367.2
709.95243,668.6
709.96406,157.4
710.9007,25945.4
710.92377,1998
710.95134,1492.4
711.03888,10
711.53333,9.4
711.91317,234366.4
711.9718,8.1
712.33887,10.1
712.42401,12.5
712.45093,12.6
712.91454,124998.2
712.94603,22.6
712.9636,148.5
713.28231,17.5
713.91463,53558.9
713.9489,29.1
713.96472,9.1
714.54492,8.6
714.88783,135.8
714.91602,14479.1
714.96088,7.9
715.04012,122.6
715.07558,187.9
715.5014,11.4
715.53642,22.2
715.82667,37.8
715.84985,9.1
715.88598,294.4
715.91474,1791
715.99078,9.9
716.45105,23.8
716.82196,10.2
716.85632,9.6
716.88608,80.9
716.91082,51.6
716.94448,39.1
716.99561,9.6
717.03,1406.5
717.05721,23.7
717.21844,7.6
717.28278,10.3
717.51495,10
717.55201,110.5
717.88792,32.7
717.92126,8.8
718.03484,36.8
718.51084,17.4
718.55566,11.3
718.89252,23.5
719.03827,8.9
719.32767,32
719.42328,9.8
719.53168,9.5
719.5679,3497.3
719.88055,257.2
719.91788,32.1
719.96716,7.1
720.17664,11.1
720.53711,11.5
720.57253,648.2
720.88155,86.3
720.96453,31
721.02701,161.1
721.1828,9.7
721.21594,11.9
721.26965,137.4
721.30503,119.1
721.91719,93.1
721.94024,436.4
722.0328,179.5
722.27563,4.4
722.30438,8.9
722.83429,9.2
722.9266,440.9
723.04207,10347.2
723.28407,3742.6
723.87967,164.8
723.90857,288.3
723.93553,49086.4
723.98267,19.5
724.04505,985.6
724.28817,132.1
724.88112,50.9
724.91723,6594.4
724.93586,14362
724.96503,17.2
725.02435,7.7
725.05041,20.4
725.22174,9.5
725.26459,13.6
725.89509,37.7
725.92887,341576.4
725.9787,11.5
726.03424,7.4
726.04797,11.3
726.74792,8.5
726.76154,9.3
726.86458,21.7
726.90014,8414.5
726.93006,188931
726.98129,104
727.31248,31
727.35492,11.5
727.46246,11.6
727.85059,9.6
727.87213,9.7
727.90478,4483.8
727.93177,80565.2
727.99525,3572.1
728.3598,12.5
728.43359,9.5
728.90421,3312.7
728.93445,21415.1
728.98199,8.7
728.99832,314.3
729.19189,11.4
729.54535,11.5
729.87279,81.9
729.88385,10.2
729.92509,27945.1
729.99635,33
730.1095,10.1
730.14478,11.7
730.4516,12.4
730.54779,11
730.86865,31.5
730.92547,14853.3
731.07273,25
731.49579,9
731.53116,23.1
731.84767,142.7
731.87481,28.5
731.89688,37
731.92642,3909.5
731.99051,3039.2
732.57935,9
732.84994,17.4
732.87972,33.7
732.89195,26.7
732.92851,147.3
732.99353,142
733.0512,255.1
733.08636,151.3
733.30554,10.6
733.46899,9.3
733.57617,10.2
733.85175,22
733.86383,8
733.89513,10590.3
733.92732,17.1
734.00073,9.9
734.04895,8.7
734.39001,9.1
734.89642,4327.2
734.92913,48.9
734.96527,10.5
734.99978,26.4
735.06645,570.6
735.28504,68.3
735.89693,508
735.92605,143.7
736.06702,11
736.46405,115.4
736.60681,8.9
736.90447,31.3
736.92671,33.7
737.23615,9.9
737.26405,57.5
737.29926,9.6
737.36481,7.7
737.46763,36
737.91373,2637.6
738.00049,12
738.29578,9.2
738.50989,9
738.89857,42.5
738.9227,3514.7
739.0089,367.8
739.27983,116.1
739.4292,8.4
739.46265,8.5
739.9076,32654.5
739.94124,203.2
739.97815,11.9
740.01099,11.7
740.2821,10.5
740.30737,9
740.49683,10.7
740.90814,20522.1
740.93958,1756.2
741.07269,9.2
741.29614,8.1
741.45605,12
741.85248,16.1
741.88423,27379.9
741.91493,3871.9
741.94545,7870.7
741.99713,9.3
742.29523,9.5
742.44232,8.9
742.85627,24.3
742.88851,12968.9
742.92612,4662.3
742.94534,248.9
743.00116,23.8
743.22424,9.3
743.33496,8.4
743.42181,10.3
743.44067,10
743.49683,10.9
743.84705,17.7
743.87916,203789.5
743.93754,70004.3
744.47174,9.1
744.5285,9.7
744.81775,9.8
744.84778,27.5
744.88034,112040.3
744.90872,10538.6
744.93789,36834.8
745.02445,1417.6
745.23706,8.7
745.36725,12.7
745.54675,11.4
745.72424,10
745.79578,8.8
745.88156,48780.9
745.91235,9307.4
745.94136,14234.5
746.0282,19.2
746.25024,8.3
746.45917,9.4
746.88379,13536.1
746.91418,2792.9
746.94368,2209.7
747.03361,17.1
747.0649,94.1
747.52411,11.5
747.59936,1785.7
747.88143,1856.7
747.91295,2089.2
747.94248,30.2
748.06273,29.3
748.1095,10.1
748.12964,9
748.39703,20.9
748.49994,13.9
748.52789,11.1
748.60233,155.2
748.88319,52
748.90858,560.1
748.97363,9.1
749.04462,8.6
749.08137,612.2
749.23767,8.8
749.29535,10.7
749.40791,22.1
749.54056,34.1
749.88403,22.7
749.91017,72.3
749.97695,297.3
750.08866,25.1
750.16614,10.9
750.30609,11.8
750.33388,905.7
750.39502,10.7
750.40655,18.9
750.72784,9.4
750.89081,12.5
750.91072,19.3
750.9245,13.5
750.94775,11.6
750.98005,33.6
751.06283,28.9
751.09426,20.7
751.31537,146.7
751.50063,22.7
751.53607,10.1
751.8385,6.8
751.92897,4930.9
752.16819,55.6
752.32018,18.2
752.81689,9
752.82861,8.8
752.90951,31.9
752.92923,1008.9
752.96558,10.1
753.00031,6.3
753.04901,11.6
753.29548,108.5
753.32983,4.4
753.51676,21.6
753.87262,8.6
753.92352,44596.1
753.95746,11.2
753.97236,1627.2
754.0605,23.7
754.15045,9.8
754.29376,9.6
754.32916,9.9
754.92469,27470.5
754.97773,287.7
755.0705,9.1
755.17291,11.1
755.27405,10.4
755.46051,7.2
755.86523,11.6
755.88623,9.2
755.92549,12716.6
755.94032,26.1
755.96189,99
756.48395,9.9
756.6026,10.6
756.89894,20428.3
756.93325,19518.6
756.96539,10.6
756.98118,30.7
757.69873,8.7
757.86197,18.1
757.89813,3453.9
757.92235,5014.3
757.95615,19918.1
758.16504,9
758.18073,10.4
758.28265,11.7
758.35748,9.3
758.37793,8.2
758.43842,10
758.86063,21.1
758.89575,766.7
758.92543,33362.5
758.95621,11832.1
758.99249,8.6
759.32855,10.7
759.52789,9.5
759.62323,11.2
759.75616,9.6
759.86734,22.4
759.89801,611.1
759.92873,25945.3
759.96058,772.8
759.98755,10.9
760.88145,18.9
760.89792,42.1
760.93146,11411.8
760.96307,11.3
761.34711,9.3
761.54083,8.9
761.7218,8.2
761.85643,14.8
761.89228,11911.5
761.93329,1755.2
761.94617,10.7
762.03638,9.9
762.07771,33.4
762.47949,9.4
762.89351,5989.6
762.93218,29.8
763.06188,18.7
763.09853,87.4
763.21997,7.8
763.31799,7.7
763.52044,54.4
763.89486,836
763.91852,10.6
