m/z,Intensity,Formula,Neutral Mass
150.01915,1655.7,Cu1O3N1C1H13,150.01919
150.05504,2086.5,Cu1O2N1C2H17,150.0556
150.07768,1627.9,Cu1O1N2C2H19,150.07942
150.93295,2313.3,Cu1O3N1C2H2,150.93306
150.99004,1753.7,Cu1O4N1H10,150.99061
151.00674,1775.5,Cu1O1N1C4H10,151.00588
151.92716,6453.6,Cu1O3N2C1H1,151.9283
152.03296,4829.4,Cu1O3N1C1H15,152.03485
152.03528,389797.6,Cu1O3N1C1H15,152.03485
152.06982,1635.9,Cu1O2N1C2H19,152.07126
152.94736,1897.1,Cu1O3N1C2H4,152.94872
153.00861,1613.5,Cu1O1N2C3H10,153.00895
153.01956,4168.8,Cu1O1N1C4H12,153.02154
153.02068,1704.8,Cu1O1N1C4H12,153.02154
153.07896,1812.7,Cu1O2N1C2H20,153.07909
154.02866,2208.2,Cu1O1N1C4H13,154.02937
154.96297,1856.8,Cu1O3N1C2H6,154.96438
156.0078,1861.4,Cu1O2N1C3H11,156.00862
156.03151,2036.7,Cu1O1N2C3H13,156.03244
158.01039,1731.4,Cu1O2N2C2H11,158.01169
158.06108,2282.5,Cu1O1N1C4H17,158.06069
158.93851,1884.8,Cu1O2N1C4H2,158.93815
158.96129,1896.3,Cu1O1N2C4H4,158.96197
159.06659,2015.8,Cu1O1N1C4H18,159.06852
159.96619,1885.4,Cu1O4N1C1H7,159.96712
159.96753,1969.1,Cu1O4N1C1H7,159.96712
159.9888,1626.3,Cu1O3N2C1H9,159.99094
160.04033,3655.0,Cu1O2N1C3H15,160.03994
160.93866,1594.9,Cu1O5N1H4,160.93854
160.94069,1547.6,Cu1O2N2C3H2,160.94122
161.01038,1993.1,Cu1O3N1C2H12,161.01136
161.03349,13216.1,Cu1O2N2C2H14,161.03518
161.0356,438051.3,Cu1O2N2C2H14,161.03518
161.92343,1967.9,Cu1O3N1C3H1,161.92523
161.92343,1967.9,Cu1O6H3,161.92255
161.96199,1637.3,Cu1O2N1C4H5,161.96164
161.98157,1926.7,Cu1O4N1C1H9,161.98278
161.9855,1740.0,Cu1O1N2C4H7,161.98546
161.99623,1683.0,Cu1O1N1C5H9,161.99805
162.0196,21377.5,Cu1O3N1C2H13,162.01919
162.05589,1791.1,Cu1O2N1C3H17,162.0556
163.01503,3937.1,Cu1O3N2C1H12,163.01443
163.02623,3153.2,Cu1O3N1C2H14,163.02702
163.96541,1951.2,Cu1O2N2C3H5,163.96471
164.03526,264517.3,Cu1O3N1C2H15,164.03485
164.07152,3903.9,Cu1O2N1C3H19,164.07126
164.07185,2336.2,Cu1O2N1C3H19,164.07126
164.91074,1718.2,Cu1O4N1C2,164.91231
165.00453,1623.3,Cu1O4N1C1H12,165.00627
165.02071,1698.9,Cu1O1N1C5H12,165.02154
165.04085,47750.6,Cu1O3N1C2H16,165.04268
165.94336,1750.8,Cu1O3N2C2H3,165.94396
165.95404,2033.0,Cu1O6H7,165.95387
166.0145,21066.3,Cu1O4N1C1H13,166.0141
166.02718,3558.7,Cu1O1N1C5H13,166.02937
166.03665,1967.8,Cu1O3N2C1H15,166.03792
166.04932,2069.8,Cu1O3N1C2H17,166.05051
166.05092,411995.7,Cu1O3N1C2H17,166.05051
166.92731,1484.7,Cu1O4N1C2H2,166.92797
166.94406,1599.8,Cu1O1N1C6H2,166.94324
166.95265,1719.3,Cu1O3N2C2H4,166.95179
166.98331,2013.5,Cu1O5N1H10,166.98552
166.98445,2757.5,Cu1O5N1H10,166.98552
166.98728,5553.5,Cu1O2N2C3H8,166.9882
166.98834,1982.2,Cu1O2N2C3H8,166.9882
166.98928,6547.8,Cu1O2N2C3H8,166.9882
167.02078,1666.5,Cu1O4N1C1H14,167.02193
167.04612,8359.7,Cu1O3N2C1H16,167.04575
167.93768,2501.2,Cu1O1N2C5H1,167.93848
167.93825,1777.6,Cu1O1N2C5H1,167.93848
167.94891,4303.9,Cu1O1N1C6H3,167.95107
167.94964,3979.7,Cu1O1N1C6H3,167.95107
167.95775,1908.6,Cu1O3N2C2H5,167.95962
167.97229,1812.0,Cu1O3N1C3H7,167.97221
167.99356,3840.4,Cu1O5N1H11,167.99335
168.0284,46330.7,Cu1O4N1C1H15,168.02976
168.03018,1053644.9,Cu1O4N1C1H15,168.02976
168.04546,2185.6,Cu1O1N1C5H15,168.04503
168.06654,1997.1,Cu1O3N1C2H19,168.06617
168.9666,1790.5,Cu1O3N2C2H6,168.96745
169.01424,15096.9,Cu1O2N1C4H12,169.01645
169.01703,1608.5,Cu1O2N1C4H12,169.01645
169.95116,1874.7,Cu1O4N1C2H5,169.95146
170.00945,17557.0,Cu1O2N2C3H11,170.01169
171.01996,1762.9,Cu1O2N2C3H12,171.01952
171.02988,21125.2,Cu1O2N1C4H14,171.03211
171.94461,1770.5,Cu1O2N1C5H3,171.94598
171.95381,1880.0,Cu1O4N2C1H5,171.95453
171.96597,1969.7,Cu1O4N1C2H7,171.96712
172.02707,1705.5,Cu1O2N2C3H13,172.02735
172.03954,1587.8,Cu1O2N1C4H15,172.03994
172.07564,1523.9,Cu1O1N1C5H19,172.07635
172.07673,4842.5,Cu1O1N1C5H19,172.07635
173.04593,1957.8,Cu1O2N1C4H16,173.04777
173.97058,1696.6,Cu1O4N2C1H7,173.97019
174.04146,1563.0,Cu1O2N2C3H15,174.04301
174.05452,1394.9,Cu1O2N1C4H17,174.0556
174.05598,19944.6,Cu1O2N1C4H17,174.0556
174.97015,1874.2,Cu1O2N1C5H6,174.96947
174.9904,2521.2,Cu1O4N1C2H10,174.99061
175.02478,8327.3,Cu1O3N1C3H14,175.02702
175.02708,1846.3,Cu1O3N1C3H14,175.02702
175.05124,58547.6,Cu1O2N2C3H16,175.05084
175.06116,26501.0,Cu1O2N1C4H18,175.06343
175.92578,2084.5,Cu1O6N1H3,175.92562
175.96219,1500.1,Cu1O5N1C1H7,175.96203
175.97842,1739.8,Cu1O2N1C5H7,175.9773
176.03525,61410.5,Cu1O3N1C3H15,176.03485
176.07165,3679.1,Cu1O2N1C4H19,176.07126
176.9274,1596.0,Cu1O1N1C7,176.92758
176.968,1966.7,Cu1O5N1C1H8,176.96986
176.97142,1638.8,Cu1O2N2C4H6,176.97254
177.01929,49437.9,Cu1O1N1C6H12,177.02154
177.06726,1588.8,Cu1O2N2C3H18,177.0665
