Formula,m/z
Cu1O3N1C1H13,150.01915
Cu1O2N1C2H17,150.05504
Cu1O1N2C2H19,150.07768
Cu1O3N1C2H2,150.93295
Cu1O1N1C4H10,151.00674
Cu1O3N2C1H1,151.92716
Cu1O3N1C1H15,152.03296
Cu1O3N1C1H15,152.03528
Cu1O2N1C2H19,152.06982
Cu1O3N1C2H4,152.94736
Cu1O1N2C3H10,153.00861
Cu1O1N1C4H12,153.01956
Cu1O1N1C4H12,153.02068
Cu1O2N1C2H20,153.07896
Cu1O1N1C4H13,154.02866
Cu1O3N1C2H6,154.96297
Cu1O2N1C3H11,156.0078
Cu1O1N2C3H13,156.03151
Cu1O2N2C2H11,158.01039
Cu1O1N1C4H17,158.06108
Cu1O2N1C4H2,158.93851
Cu1O1N2C4H4,158.96129
Cu1O1N1C4H18,159.06659
Cu1O4N1C1H7,159.96619
Cu1O4N1C1H7,159.96753
Cu1O3N2C1H9,159.9888
Cu1O2N1C3H15,160.04033
Cu1O2N2C3H2,160.94069
Cu1O3N1C2H12,161.01038
Cu1O2N2C2H14,161.03349
Cu1O2N2C2H14,161.0356
Cu1O3N1C3H1,161.92343
Cu1O2N1C4H5,161.96199
Cu1O4N1C1H9,161.98157
Cu1O1N2C4H7,161.9855
Cu1O1N1C5H9,161.99623
Cu1O3N1C2H13,162.0196
Cu1O2N1C3H17,162.05589
Cu1O3N2C1H12,163.01503
Cu1O3N1C2H14,163.02623
Cu1O2N2C3H5,163.96541
Cu1O3N1C2H15,164.03526
Cu1O2N1C3H19,164.07152
Cu1O2N1C3H19,164.07185
Cu1O4N1C2,164.91074
Cu1O4N1C1H12,165.00453
Cu1O1N1C5H12,165.02071
Cu1O3N1C2H16,165.04085
Cu1O3N2C2H3,165.94336
Cu1O4N1C1H13,166.0145
Cu1O1N1C5H13,166.02718
Cu1O3N2C1H15,166.03665
Cu1O3N1C2H17,166.04932
Cu1O3N1C2H17,166.05092
Cu1O4N1C2H2,166.92731
Cu1O1N1C6H2,166.94406
Cu1O3N2C2H4,166.95265
Cu1O2N2C3H8,166.98728
Cu1O2N2C3H8,166.98834
Cu1O2N2C3H8,166.98928
Cu1O4N1C1H14,167.02078
Cu1O3N2C1H16,167.04612
Cu1O1N2C5H1,167.93768
Cu1O1N2C5H1,167.93825
Cu1O1N1C6H3,167.94891
Cu1O1N1C6H3,167.94964
Cu1O3N2C2H5,167.95775
Cu1O3N1C3H7,167.97229
Cu1O4N1C1H15,168.0284
Cu1O4N1C1H15,168.03018
Cu1O1N1C5H15,168.04546
Cu1O3N1C2H19,168.06654
Cu1O3N2C2H6,168.9666
Cu1O2N1C4H12,169.01424
Cu1O2N1C4H12,169.01703
Cu1O4N1C2H5,169.95116
Cu1O2N2C3H11,170.00945
Cu1O2N2C3H12,171.01996
Cu1O2N1C4H14,171.02988
Cu1O2N1C5H3,171.94461
Cu1O4N2C1H5,171.95381
Cu1O4N1C2H7,171.96597
Cu1O2N2C3H13,172.02707
Cu1O2N1C4H15,172.03954
Cu1O1N1C5H19,172.07564
Cu1O1N1C5H19,172.07673
Cu1O2N1C4H16,173.04593
Cu1O4N2C1H7,173.97058
Cu1O2N2C3H15,174.04146
Cu1O2N1C4H17,174.05452
Cu1O2N1C4H17,174.05598
Cu1O2N1C5H6,174.97015
Cu1O4N1C2H10,174.9904
Cu1O3N1C3H14,175.02478
Cu1O3N1C3H14,175.02708
Cu1O2N2C3H16,175.05124
Cu1O2N1C4H18,175.06116
Cu1O5N1C1H7,175.96219
Cu1O2N1C5H7,175.97842
Cu1O3N1C3H15,176.03525
Cu1O2N1C4H19,176.07165
Cu1O1N1C7,176.9274
Cu1O5N1C1H8,176.968
Cu1O2N2C4H6,176.97142
Cu1O1N1C6H12,177.01929
Cu1O2N2C3H18,177.06726
Cu1O2N1C4H20,177.0768
Cu1O3N1C4H5,177.95622
Cu1O1N2C5H11,178.01452
Cu1O4N1C2H13,178.01452
Cu1O1N1C6H13,178.02718
Cu1O3N1C3H17,178.05089
Cu1O2N2C3H19,178.07501
Cu1O3N1C4H6,178.96332
Cu1O1N1C6H14,179.03491
Cu1O3N2C2H16,179.04622
Cu1O3N1C3H18,179.05603
Cu1O1N2C5H13,180.03018
Cu1O4N1C2H15,180.03018
Cu1O1N1C6H15,180.04311
Cu1O3N1C3H19,180.06657
Cu1O4N1C3H4,180.94241
Cu1O1N1C7H4,180.95966
Cu1O3N2C3H6,180.96518
Cu1O2N1C5H12,181.01429
Cu1O2N1C5H12,181.01757
Cu1O1N1C6H16,181.05057
Cu1O3N1C3H20,181.07185
Cu1O4N2C2H3,181.93765
Cu1O2N2C4H11,182.0094
Cu1O5N1C1H13,182.0094
Cu1O2N2C4H11,182.01096
Cu1O1N2C5H15,182.04584
Cu1O4N1C2H17,182.04584
Cu1O1N1C6H17,182.06093
Cu1O2N2C5,182.9268
Cu1O2N1C6H2,182.93626
Cu1O4N2C2H4,182.94632
Cu1O5N1C1H14,183.01488
Cu1O2N2C4H12,183.01718
Cu1O5N1C1H14,183.01718
Cu1O2N1C5H14,183.02982
Cu1O2N1C5H14,183.03339
Cu1O1N1C6H18,183.06623
