m/z,Intensity,Formula,Neutral Mass
104.92799,16.4,Cu1O1N1C1,104.92758
104.92832,46.5,Cu1O1N1C1,104.92758
105.93608,118.9,Cu1O1N1C1H1,105.93541
106.94386,22.9,Cu1O1N1C1H2,106.94324
107.9353,18.2,Cu1O1N2H1,107.93848
108.94373,627.2,Cu1O1N2H2,108.94631
108.94713,43.2,Cu1O1N2H2,108.94631
109.93054,17.7,Cu1O2N1H1,109.93032
110.91112,18.5,Cu1O3,110.91433
110.96249,21.2,Cu1O1N2H4,110.96197
111.94277,16.9,Cu1O2N1H3,111.94598
111.96864,16.2,Cu1O1N2H5,111.9698
112.95407,18.5,Cu1O2N1H4,112.95381
113.9347,10.5,Cu1O3H3,113.93782
118.92791,18.4,Cu1O1N2C1,118.93065
118.93978,106.3,Cu1O1N1C2H2,118.94324
118.94008,277.8,Cu1O1N1C2H2,118.94324
118.94033,163.4,Cu1O1N1C2H2,118.94324
118.94063,256.0,Cu1O1N1C2H2,118.94324
118.94083,305.7,Cu1O1N1C2H2,118.94324
118.94108,455.8,Cu1O1N1C2H2,118.94324
118.94137,1125.1,Cu1O1N1C2H2,118.94324
118.94167,516.7,Cu1O1N1C2H2,118.94324
118.94223,246443.5,Cu1O1N1C2H2,118.94324
118.94296,1229.8,Cu1O1N1C2H2,118.94324
118.94317,766.6,Cu1O1N1C2H2,118.94324
118.94343,514.1,Cu1O1N1C2H2,118.94324
118.94368,210.8,Cu1O1N1C2H2,118.94324
118.9439,272.8,Cu1O1N1C2H2,118.94324
118.94413,300.7,Cu1O1N1C2H2,118.94324
118.94441,175.7,Cu1O1N1C2H2,118.94324
120.94645,691.0,Cu1O1N2C1H2,120.94631
121.93931,14.7,Cu1O1N3H1,121.94155
121.9675,21.2,Cu1O1N1C2H5,121.96673
122.93462,15.4,Cu1O2N1C1H2,122.93815
122.95921,12.3,Cu1O1N2C1H4,122.96197
123.93073,43.3,Cu1O2N2H1,123.93339
123.93102,122.3,Cu1O2N2H1,123.93339
123.93156,20.2,Cu1O2N2H1,123.93339
123.94665,190.3,Cu1O2N1C1H3,123.94598
123.95451,15.6,Cu1O1N3H3,123.95721
125.9242,15.9,Cu1O3N1H1,125.92523
125.9248,17.4,Cu1O3N1H1,125.92523
125.96234,21.3,Cu1O2N1C1H5,125.96164
125.97191,21.1,Cu1O1N3H5,125.97287
126.86597,19.0,Cu2H1,126.86703
126.90603,664.8,Cu1O4,126.90924
126.90628,124.9,Cu1O4,126.90924
126.90649,38.0,Cu1O4,126.90924
126.90704,89.1,Cu1O4,126.90924
126.90749,17.7,Cu1O4,126.90924
126.90767,20.2,Cu1O4,126.90924
126.9079,18.2,Cu1O4,126.90924
126.90818,54.2,Cu1O4,126.90924
126.90927,19.1,Cu1O4,126.90924
126.90961,17.9,Cu1O4,126.90924
127.87397,20.1,Cu2H2,127.87486
127.91629,20.1,Cu1O4H1,127.91707
131.93941,21.9,Cu1O1N2C2H1,131.93848
132.95883,15.1,Cu1O1N1C3H4,132.9589
134.9467,15.3,Cu1O1N3C1H2,134.94938
135.97121,98.6,Cu1O1N2C2H5,135.9698
136.93948,16.8,Cu1O2N2C1H2,136.94122
136.94027,2379.2,Cu1O2N2C1H2,136.94122
136.95282,24073.6,Cu1O1N4H2,136.95245
