Formula,m/z
Cu1O1N1C1,104.92799
Cu1O1N1C1H6,110.97447
Cu1O1N1C1H7,111.98196
Cu1O1N1C1H8,112.98984
Cu1O1N1C1H9,113.99767
Cu1O1N1C2H2,118.94167
Cu1O1N1C2H2,118.94223
Cu1O1N1C2H2,118.94296
Cu1O1N1C2H2,118.94317
Cu1O1N1C2H2,118.94343
Cu1O1N1C2H2,118.94368
Cu1O1N2C1H2,120.94645
Cu1O2N1C1H3,123.94665
Cu1O2N1C1H5,125.96234
Cu1O1N1C2H9,125.99762
Cu1O2N1C1H6,126.96879
Cu1O1N1C2H10,127.00557
Cu1O1N1C3H4,132.95883
Cu1O2N2C1H2,136.93948
Cu1O2N2C1H2,136.94027
Cu1O2N1C2H4,136.95282
Cu1O2N1C2H4,136.95384
Cu1O1N3C1H4,136.96491
Cu1O1N2C2H6,136.9778
Cu1O1N3C1H5,137.97284
Cu1O2N1C2H6,138.96965
Cu1O1N3C1H7,139.98672
Cu1O1N3C1H7,139.98761
Cu1O2N1C2H9,141.99264
Cu1O1N2C3,142.92963
Cu1O3N1C1H6,142.96271
Cu1O2N1C2H10,142.99911
Cu1O1N3C1H10,143.01006
Cu1O1N3C1H10,143.0125
Cu1O2N2C1H9,143.99451
Cu1O3N1C1H9,145.98735
Cu1O2N2C2,146.92549
Cu1O1N3C2H2,146.95016
Cu1O1N1C4H6,146.97292
Cu1O1N1C4H6,146.97325
Cu1O1N1C4H6,146.97447
Cu1O3N1C2,148.9156
Cu1O2N2C2H3,149.94989
Cu1O1N4C1H3,149.95961
Cu1O2N1C3H5,149.95961
Cu1O1N4C1H4,150.96846
Cu1O2N1C3H6,150.96846
Cu1O1N4C1H4,150.96872
Cu1O2N1C3H6,150.96872
Cu1O1N3C2H6,150.98053
Cu1O1N2C3H8,150.99341
Cu1O1N2C3H8,150.99372
Cu1O1N1C4H10,151.00638
Cu1O3N2C1H1,151.9274
Cu1O1N2C3H9,151.99916
Cu1O1N1C5,152.9268
Cu1O3N2C1H2,152.93666
Cu1O2N3C1H4,152.95877
Cu1O2N1C3H8,152.98566
Cu1O1N2C3H10,153.0071
Cu1O1N2C3H10,153.00856
Cu1O3N2C1H3,153.94243
Cu1O2N2C2H7,153.98099
Cu1O1N4C1H7,153.98999
Cu1O1N2C4,154.92868
Cu1O1N2C4,154.92909
Cu1O1N2C4,154.93158
Cu1O3N1C2H6,154.96472
Cu1O3N1C2H6,154.96512
Cu1O1N4C1H8,154.99879
Cu1O2N1C3H10,154.99879
Cu1O1N4C1H8,155.00041
Cu1O2N1C3H10,155.00041
Cu1O1N3C2H10,155.0101
Cu1O2N2C2H9,155.99407
Cu1O2N1C4,156.92303
Cu1O1N4C1H10,157.01448
Cu1O2N3C1H9,158.00002
Cu1O1N4C2,158.93487
Cu1O3N1C2H10,158.99379
Cu1O2N3C1H10,159.00494
Cu1O1N3C3H3,159.95621
Cu1O3N2C1H9,159.98889
Cu1O3N1C3,160.91559
Cu1O2N2C3H2,160.94125
Cu1O1N4C2H2,160.95297
Cu1O2N1C4H4,160.95297
Cu1O1N5C1H1,161.94807
Cu1O2N2C3H3,161.94807
Cu1O3N1C3H2,162.93321
Cu1O1N2C4H8,162.99281
Cu1O1N1C5H10,163.00392
Cu1O2N3C2H3,163.95119
Cu1O1N2C4H9,163.99928
Cu1O1N2C4H9,163.99974
Cu1O3N2C2H2,164.93417
Cu1O3N2C2H2,164.93511
Cu1O2N4C1H2,164.94778
Cu1O3N1C3H4,164.94778
Cu1O2N2C3H6,164.97331
Cu1O3N3C1H1,165.93056
Cu1O3N2C2H3,165.94302
Cu1O2N3C2H5,165.96573
Cu1O2N2C3H7,165.98063
Cu1O1N4C2H7,165.99135
Cu1O2N1C4H9,165.99135
Cu1O3N3C1H2,166.93932
Cu1O2N3C2H6,166.97555
Cu1O2N3C2H6,166.97587
Cu1O1N4C2H8,166.99901
Cu1O2N1C4H10,166.99901
Cu1O1N3C3H10,167.01196
Cu1O1N4C2H9,168.00703
Cu1O1N5C1H8,169.00191
Cu1O2N2C3H10,169.00191
Cu1O1N5C1H8,169.00226
Cu1O2N2C3H10,169.00226
Cu1O1N4C2H10,169.01453
Cu1O1N4C2H10,169.01607
Cu1O1N2C5H3,169.95204
Cu1O1N2C5H3,169.95346
Cu1O3N2C2H7,169.97372
Cu1O2N4C1H7,169.98474
Cu1O2N4C1H7,169.98567
Cu1O3N1C3H9,169.98567
Cu1O1N5C1H9,170.00976
Cu1O1N3C4H2,170.9474
Cu1O1N2C5H4,170.95992
Cu1O2N4C1H8,170.99361
Cu1O3N1C3H10,170.99361
Cu1O2N4C1H9,172.00052
Cu1O2N4C1H9,172.00291
Cu1O2N3C3,172.92961
Cu1O1N5C2,172.93954
Cu1O2N2C4H2,172.93954
Cu1O1N3C4H4,172.96342
Cu1O3N3C1H8,172.98424
Cu1O1N1C6H8,172.98836
Cu1O2N4C1H10,173.00943
Cu1O1N3C4H5,173.97212
Cu1O1N2C5H7,173.98421
Cu1O3N3C1H9,173.992
Cu1O1N1C6H9,173.99658
Cu1O3N3C1H10,174.99961
Cu1O3N2C3H1,175.92662
Cu1O1N5C2H3,175.96165
Cu1O1N5C2H3,175.96213
Cu1O1N4C3H5,175.97569
Cu1O2N1C5H7,175.97569
Cu1O1N2C5H9,175.99883
Cu1O2N4C2H2,176.94779
Cu1O3N1C4H4,176.94779
Cu1O2N3C3H4,176.95981
Cu1O2N3C3H4,176.961
Cu1O1N5C2H4,176.97084
Cu1O2N2C4H6,176.97084
